Age,Education,Occupation,Relationship,Sex,Country
39, Assoc-acdm, Exec-managerial, Husband, Male, United-States
31, Some-college, Exec-managerial, Wife, Female, South
27, HS-grad, Craft-repair, Husband, Male, United-States
46, 9th, Other-service, Unmarried, Female, United-States
37, Masters, Exec-managerial, Not-in-family, Male, United-States
27, Bachelors, Sales, Not-in-family, Female, United-States
33, Some-college, Transport-moving, Not-in-family, Male, United-States
20, Some-college, Other-service, Own-child, Male, United-States
55, HS-grad, Craft-repair, Not-in-family, Male, United-States
39, Assoc-acdm, Sales, Not-in-family, Female, United-States
41, HS-grad, Other-service, Not-in-family, Female, United-States
30, Bachelors, Prof-specialty, Not-in-family, Female, United-States
39, Bachelors, Sales, Not-in-family, Male, United-States
28, HS-grad, Exec-managerial, Unmarried, Female, United-States
25, Some-college, Sales, Own-child, Male, United-States
31, HS-grad, Craft-repair, Husband, Male, United-States
51, HS-grad, Transport-moving, Husband, Male, United-States
24, Bachelors, Adm-clerical, Own-child, Male, United-States
70, HS-grad, Protective-serv, Not-in-family, Female, United-States
23, Some-college, Adm-clerical, Own-child, Male, United-States
61, HS-grad, Exec-managerial, Not-in-family, Female, United-States
45, 7th-8th, Exec-managerial, Husband, Male, United-States
47, HS-grad, Handlers-cleaners, Husband, Male, United-States
56, Some-college, Other-service, Not-in-family, Female, United-States
79, Doctorate, Prof-specialty, Husband, Male, El-Salvador
20, Some-college, Adm-clerical, Own-child, Female, United-States
30, HS-grad, Craft-repair, Unmarried, Male, Vietnam
27, Bachelors, Sales, Husband, Male,
40, Bachelors, Sales, Husband, Male, United-States
60, HS-grad,, Husband, Male, United-States
58, HS-grad, Craft-repair, Husband, Male, United-States
71, Prof-school, Farming-fishing, Husband, Male, United-States
50, Prof-school, Prof-specialty, Husband, Male, United-States
29, Some-college, Exec-managerial, Not-in-family, Male, Iran
33, 10th, Other-service, Unmarried, Female, United-States
60, HS-grad, Protective-serv, Husband, Male, United-States
33, Assoc-acdm, Adm-clerical, Not-in-family, Male, United-States
43, Bachelors, Other-service, Wife, Female,
33, 10th, Handlers-cleaners, Unmarried, Male, United-States
33, HS-grad, Adm-clerical, Wife, Female, United-States
32, HS-grad, Protective-serv, Husband, Male, United-States
21, Some-college, Other-service, Own-child, Female, United-States
38, HS-grad, Prof-specialty, Wife, Female, United-States
38, Some-college, Adm-clerical, Wife, Female, United-States
39, Some-college, Exec-managerial, Unmarried, Female, United-States
17, 11th, Sales, Own-child, Female, United-States
21, Some-college, Adm-clerical, Husband, Male, United-States
42, Some-college, Tech-support, Husband, Male, United-States
42, HS-grad, Exec-managerial, Wife, Female, United-States
36, 11th, Other-service, Not-in-family, Female, United-States
32, Some-college, Exec-managerial, Not-in-family, Female, United-States
37, Bachelors, Prof-specialty, Husband, Male, United-States
28, Bachelors, Sales, Not-in-family, Male, United-States
37, Assoc-voc, Craft-repair, Husband, Male, United-States
50, HS-grad, Prof-specialty, Unmarried, Female, Puerto-Rico
49, 11th, Craft-repair, Husband, Male, United-States
40, Masters, Exec-managerial, Husband, Male, United-States
40, Some-college, Other-service, Husband, Male, United-States
49, Some-college, Craft-repair, Husband, Male, United-States
35, Masters, Exec-managerial, Not-in-family, Male, United-States
33, HS-grad, Protective-serv, Unmarried, Male, United-States
24, HS-grad, Craft-repair, Not-in-family, Male, United-States
41, Masters, Adm-clerical, Not-in-family, Female, United-States
43, Some-college, Tech-support, Husband, Male, Jamaica
36, HS-grad, Farming-fishing, Husband, Male, United-States
84, Bachelors, Farming-fishing, Husband, Male, United-States
23, HS-grad, Sales, Own-child, Male, United-States
41, Bachelors, Prof-specialty, Husband, Male, United-States
55, HS-grad, Exec-managerial, Husband, Male, United-States
30, Some-college, Craft-repair, Not-in-family, Male, United-States
46, Assoc-acdm, Adm-clerical, Husband, Male, India
55, Some-college, Exec-managerial, Husband, Male, United-States
34, Some-college, Adm-clerical, Not-in-family, Male, United-States
54, Masters, Sales, Not-in-family, Male, United-States
27, Some-college, Adm-clerical, Own-child, Male, United-States
52, Masters, Prof-specialty, Wife, Female, United-States
36, Some-college, Adm-clerical, Wife, Female, United-States
25, HS-grad, Prof-specialty, Not-in-family, Male, United-States
52, Bachelors, Exec-managerial, Husband, Male, United-States
24, HS-grad, Exec-managerial, Not-in-family, Female, United-States
36, HS-grad, Adm-clerical, Not-in-family, Female, United-States
31, HS-grad, Handlers-cleaners, Husband, Male, United-States
66, Some-college,, Husband, Male, United-States
90, Bachelors, Prof-specialty, Husband, Male, United-States
67, Masters, Prof-specialty, Husband, Male, United-States
22, 7th-8th, Craft-repair, Husband, Male, United-States
47, Some-college, Adm-clerical, Not-in-family, Female, United-States
32, Bachelors, Exec-managerial, Husband, Male, United-States
55, 7th-8th, Farming-fishing, Husband, Male, United-States
32, HS-grad, Handlers-cleaners, Not-in-family, Female, United-States
48, Some-college, Adm-clerical, Other-relative, Female, United-States
21, HS-grad, Sales, Husband, Male, United-States
33, Assoc-acdm, Prof-specialty, Own-child, Female, United-States
27, Some-college, Prof-specialty, Not-in-family, Female,
47, Assoc-voc, Prof-specialty, Not-in-family, Female, United-States
18, 11th, Other-service, Own-child, Female, United-States
44, HS-grad, Craft-repair, Husband, Male, United-States
23, Some-college, Craft-repair, Own-child, Male, Mexico
18, 10th, Sales, Own-child, Female, United-States
56, HS-grad, Exec-managerial, Husband, Male, United-States
24, Bachelors, Adm-clerical, Own-child, Male, United-States
43, Bachelors, Craft-repair, Husband, Male, United-States
23, Bachelors, Sales, Own-child, Female, United-States
26, Some-college, Sales, Own-child, Male, United-States
42, HS-grad, Sales, Unmarried, Male, United-States
23, HS-grad, Adm-clerical, Not-in-family, Female, United-States
53, 10th, Craft-repair, Husband, Male, United-States
51, HS-grad, Exec-managerial, Husband, Male, United-States
40, HS-grad, Other-service, Own-child, Male, United-States
27, Bachelors, Prof-specialty, Not-in-family, Male, United-States
24, Some-college, Protective-serv, Not-in-family, Male, United-States
42, HS-grad, Craft-repair, Other-relative, Female, United-States
41, HS-grad, Adm-clerical, Unmarried, Female, United-States
23, Some-college, Handlers-cleaners, Own-child, Male, United-States
42, Masters, Prof-specialty, Husband, Male, United-States
38, HS-grad, Craft-repair, Husband, Male, United-States
63, 7th-8th, Farming-fishing, Husband, Male, United-States
31, HS-grad, Craft-repair, Husband, Male, United-States
18, 11th, Other-service, Own-child, Female, United-States
21, Some-college, Other-service, Own-child, Male, United-States
24, Bachelors, Prof-specialty, Other-relative, Female, Philippines
55, Some-college, Craft-repair, Husband, Male, United-States
20, 9th, Adm-clerical, Unmarried, Female, United-States
31, Some-college, Sales, Own-child, Female, United-States
23, Some-college, Adm-clerical, Own-child, Female, United-States
35, HS-grad, Craft-repair, Husband, Male, Mexico
51, Some-college, Sales, Husband, Male, United-States
19, Some-college, Protective-serv, Own-child, Female, United-States
38, HS-grad, Protective-serv, Not-in-family, Male, United-States
52, HS-grad, Craft-repair, Husband, Male, United-States
70, Prof-school, Prof-specialty, Husband, Male, United-States
53, 10th, Craft-repair, Not-in-family, Male, United-States
59, Doctorate, Exec-managerial, Husband, Male, United-States
39, Some-college, Transport-moving, Husband, Male, United-States
18, 12th, Sales, Own-child, Female, United-States
41, HS-grad,, Not-in-family, Female, United-States
19, Some-college,, Own-child, Male, United-States
24, Some-college, Adm-clerical, Not-in-family, Female, United-States
25, HS-grad, Adm-clerical, Not-in-family, Female, United-States
32, Some-college, Exec-managerial, Not-in-family, Male, Jamaica
34, HS-grad, Sales, Husband, Male, United-States
35, HS-grad, Sales, Not-in-family, Female, United-States
50, HS-grad, Adm-clerical, Husband, Male, United-States
18, HS-grad, Sales, Own-child, Male, United-States
37, HS-grad, Adm-clerical, Not-in-family, Male, United-States
30, Some-college, Other-service, Unmarried, Female, United-States
40, Masters, Exec-managerial, Wife, Female, Iran
22, HS-grad, Prof-specialty, Not-in-family, Female, United-States
50, Some-college, Other-service, Unmarried, Female, United-States
70, HS-grad, Other-service, Not-in-family, Female, United-States
43, Masters, Prof-specialty, Husband, Male, United-States
77, Some-college, Craft-repair, Not-in-family, Male, United-States
30, HS-grad, Craft-repair, Husband, Male, United-States
33, Some-college, Machine-op-inspct, Husband, Male, United-States
51, Some-college, Sales, Husband, Male, United-States
58, Masters, Prof-specialty, Husband, Male, United-States
22, Some-college, Adm-clerical, Own-child, Male, United-States
33, HS-grad, Transport-moving, Husband, Male, United-States
27, 11th, Sales, Husband, Male, United-States
35, Some-college, Exec-managerial, Not-in-family, Male, United-States
32, Some-college, Sales, Not-in-family, Female, United-States
41, Bachelors, Tech-support, Wife, Female, United-States
37, Some-college, Craft-repair, Husband, Male, United-States
17, 11th, Sales, Own-child, Male, United-States
50, Bachelors, Exec-managerial, Not-in-family, Male, United-States
31, HS-grad,, Husband, Male, Philippines
54, HS-grad, Exec-managerial, Unmarried, Female, United-States
23, HS-grad, Other-service, Own-child, Male, United-States
40, Bachelors, Adm-clerical, Unmarried, Female, United-States
29, Bachelors, Prof-specialty, Husband, Male, Germany
38, HS-grad, Other-service, Not-in-family, Male,
30, Assoc-voc, Exec-managerial, Husband, Male, United-States
20, Some-college, Sales, Own-child, Male, India
43, Some-college, Farming-fishing, Husband, Male, United-States
25, Some-college, Tech-support, Own-child, Male, United-States
39, Masters, Sales, Husband, Male, United-States
48, Assoc-acdm, Prof-specialty, Husband, Male, United-States
41, HS-grad, Other-service, Unmarried, Female, United-States
24, Bachelors, Adm-clerical, Not-in-family, Male, United-States
20, Some-college, Adm-clerical, Own-child, Male, Yugoslavia
25, Some-college, Adm-clerical, Not-in-family, Female, United-States
57, Some-college, Craft-repair, Husband, Male, United-States
39, Some-college, Exec-managerial, Wife, Female, Puerto-Rico
66, Bachelors, Prof-specialty, Husband, Male, United-States
34, Some-college, Adm-clerical, Unmarried, Female, United-States
36, Bachelors, Prof-specialty, Not-in-family, Male, United-States
46, HS-grad, Sales, Wife, Female, United-States
42, Masters, Prof-specialty, Unmarried, Female, United-States
46, HS-grad, Transport-moving, Husband, Male, Canada
34, HS-grad, Protective-serv, Own-child, Male, United-States
43, Some-college, Tech-support, Wife, Female, United-States
42, Some-college, Exec-managerial, Own-child, Female, United-States
31, Bachelors, Sales, Not-in-family, Male, United-States
70, Some-college,, Husband, Male, United-States
32, Some-college, Exec-managerial, Husband, Male, United-States
46, HS-grad, Adm-clerical, Husband, Male, Germany
42, 7th-8th, Craft-repair, Unmarried, Male, United-States
21, Assoc-voc, Exec-managerial, Own-child, Male, United-States
24, Bachelors, Sales, Not-in-family, Female, United-States
23, HS-grad, Sales, Other-relative, Male, United-States
50, Masters, Prof-specialty, Husband, Male, United-States
37, Some-college, Adm-clerical, Unmarried, Female, United-States
19, 11th,, Unmarried, Female, United-States
44, Assoc-acdm, Craft-repair, Husband, Male, United-States
29, HS-grad, Transport-moving, Husband, Male, United-States
30, Assoc-voc, Adm-clerical, Wife, Female, United-States
36, Some-college, Sales, Husband, Male, United-States
49, Bachelors, Sales, Not-in-family, Male, United-States
29, HS-grad, Craft-repair, Not-in-family, Male, United-States
45, HS-grad, Adm-clerical, Not-in-family, Female, United-States
75, Doctorate, Prof-specialty, Husband, Male, United-States
42, HS-grad, Priv-house-serv, Not-in-family, Female,
37, Assoc-acdm, Exec-managerial, Not-in-family, Female, United-States
51, Bachelors, Machine-op-inspct, Husband, Male, United-States
61, HS-grad, Farming-fishing, Husband, Male, United-States
33, Assoc-acdm, Exec-managerial, Unmarried, Female,
50, HS-grad, Adm-clerical, Husband, Male, United-States
59, HS-grad, Machine-op-inspct, Not-in-family, Male, United-States
25, HS-grad, Adm-clerical, Unmarried, Female, United-States
22, HS-grad, Handlers-cleaners, Own-child, Male, United-States
56, Some-college, Transport-moving, Husband, Male, United-States
44, Bachelors, Adm-clerical, Unmarried, Female, United-States
35, Assoc-voc, Craft-repair, Husband, Male, United-States
57, HS-grad, Exec-managerial, Not-in-family, Male, United-States
47, HS-grad, Farming-fishing, Husband, Male, United-States
27, Bachelors, Exec-managerial, Not-in-family, Female, United-States
50, HS-grad, Farming-fishing, Husband, Male, United-States
30, Bachelors, Prof-specialty, Own-child, Male,
46, 11th, Transport-moving, Husband, Male, United-States
48, Prof-school, Prof-specialty, Husband, Male, United-States
61, Bachelors, Adm-clerical, Not-in-family, Male, United-States
33, HS-grad, Transport-moving, Not-in-family, Male, United-States
40, HS-grad, Other-service, Husband, Male, United-States
58, Some-college, Exec-managerial, Husband, Male, United-States
46, Masters, Exec-managerial, Husband, Male, United-States
35, Some-college, Prof-specialty, Husband, Male, United-States
51, Some-college, Exec-managerial, Unmarried, Female, United-States
37, 12th, Other-service, Own-child, Female, United-States
64, Masters, Prof-specialty, Husband, Male, China
41, HS-grad, Craft-repair, Not-in-family, Male, United-States
18, 11th, Handlers-cleaners, Own-child, Male, United-States
44, 11th, Farming-fishing, Husband, Male, United-States
41, Bachelors, Prof-specialty, Wife, Female, United-States
33, Some-college, Prof-specialty, Not-in-family, Male, United-States
37, 9th, Priv-house-serv, Unmarried, Female, Mexico
34, Some-college, Adm-clerical, Own-child, Female, United-States
24, Bachelors, Tech-support, Own-child, Female,
20, Some-college, Handlers-cleaners, Own-child, Male, United-States
38, Bachelors, Exec-managerial, Husband, Male, United-States
28, Assoc-voc, Other-service, Not-in-family, Female, United-States
20, HS-grad, Transport-moving, Own-child, Male, United-States
22, Bachelors, Tech-support, Own-child, Male, United-States
55, Bachelors, Adm-clerical, Unmarried, Female, United-States
20, Some-college, Prof-specialty, Not-in-family, Male, United-States
26, Bachelors, Prof-specialty, Not-in-family, Female, United-States
20, HS-grad, Farming-fishing, Own-child, Male, United-States
40, 9th, Other-service, Not-in-family, Female, United-States
33, HS-grad, Sales, Husband, Male, United-States
54, Some-college,, Own-child, Male, United-States
24, HS-grad, Sales, Not-in-family, Female, United-States
25, Some-college, Exec-managerial, Own-child, Male, United-States
18, 11th, Other-service, Own-child, Male, United-States
49, HS-grad, Craft-repair, Husband, Male, United-States
17, 12th, Handlers-cleaners, Own-child, Male, United-States
34, Assoc-voc, Craft-repair, Husband, Male, United-States
37, Bachelors, Prof-specialty, Husband, Male, United-States
49, Some-college, Exec-managerial, Husband, Male, United-States
74, HS-grad, Adm-clerical, Not-in-family, Female, United-States
37, HS-grad, Farming-fishing, Not-in-family, Male, United-States
20, 11th, Handlers-cleaners, Husband, Male, United-States
40, HS-grad, Exec-managerial, Wife, Female, United-States
34, Bachelors, Sales, Not-in-family, Male, United-States
30, Prof-school, Prof-specialty, Husband, Male, Haiti
44, HS-grad, Adm-clerical, Not-in-family, Female, Puerto-Rico
40, 10th, Other-service, Wife, Female, United-States
58, HS-grad, Sales, Wife, Female, Greece
44, HS-grad, Craft-repair, Husband, Male, United-States
42, Some-college, Sales, Husband, Male, United-States
39, HS-grad, Other-service, Not-in-family, Male, United-States
19, HS-grad, Other-service, Own-child, Male, United-States
41, Masters, Exec-managerial, Husband, Male, United-States
29, Masters, Prof-specialty, Not-in-family, Male, United-States
34, Some-college, Craft-repair, Other-relative, Male, United-States
38, Some-college,, Husband, Male, United-States
27, Preschool, Farming-fishing, Other-relative, Male, Mexico
54, Some-college, Craft-repair, Unmarried, Female, United-States
40, HS-grad, Machine-op-inspct, Unmarried, Female, United-States
19, Some-college, Sales, Other-relative, Female, United-States
17, 11th, Other-service, Own-child, Male, United-States
33, Some-college, Sales, Husband, Male, United-States
80, 7th-8th, Other-service, Not-in-family, Female, United-States
24, HS-grad, Craft-repair, Own-child, Male, United-States
28, Bachelors, Prof-specialty, Own-child, Male, United-States
55, HS-grad, Exec-managerial, Wife, Female, United-States
21, Some-college, Exec-managerial, Own-child, Male, United-States
51, HS-grad, Adm-clerical, Not-in-family, Female, United-States
19, HS-grad, Machine-op-inspct, Own-child, Female, United-States
42, HS-grad, Other-service, Not-in-family, Female, United-States
60, HS-grad, Exec-managerial, Husband, Male, United-States
20, Some-college,, Own-child, Female, United-States
51, HS-grad, Adm-clerical, Not-in-family, Female, United-States
21, Some-college, Other-service, Own-child, Female, United-States
37, Some-college, Craft-repair, Husband, Male, United-States
26, HS-grad, Machine-op-inspct, Not-in-family, Male, United-States
42, Masters, Exec-managerial, Not-in-family, Female, United-States
40, Some-college, Handlers-cleaners, Husband, Male, United-States
55, Masters, Prof-specialty, Husband, Male, United-States
33, HS-grad, Other-service, Not-in-family, Male, United-States
62, HS-grad, Transport-moving, Husband, Male, United-States
47, 10th, Sales, Unmarried, Female, United-States
26, 12th, Sales, Other-relative, Male, United-States
59, HS-grad, Adm-clerical, Unmarried, Female, Puerto-Rico
70, Some-college, Adm-clerical, Not-in-family, Female, United-States
26, Some-college, Adm-clerical, Not-in-family, Female, United-States
47, 10th, Sales, Husband, Male, United-States
25, Masters, Exec-managerial, Not-in-family, Female, United-States
52, Prof-school, Prof-specialty, Husband, Male, United-States
46, HS-grad, Craft-repair, Husband, Male, United-States
67, 10th, Transport-moving, Husband, Male, United-States
34, Masters, Exec-managerial, Husband, Male, United-States
53, Some-college, Adm-clerical, Other-relative, Female, United-States
22, Bachelors, Adm-clerical, Not-in-family, Female, United-States
39, HS-grad, Adm-clerical, Own-child, Male, United-States
54, HS-grad, Craft-repair, Husband, Male, United-States
24, Bachelors, Sales, Husband, Male, United-States
37, HS-grad, Prof-specialty, Unmarried, Female, United-States
38, 10th, Prof-specialty, Not-in-family, Male, United-States
41, Masters, Prof-specialty, Not-in-family, Female, United-States
36, HS-grad, Transport-moving, Husband, Male, United-States
43, Assoc-voc, Exec-managerial, Husband, Male, United-States
39, Bachelors, Prof-specialty, Not-in-family, Male, United-States
26, Bachelors, Sales, Own-child, Male, United-States
49, Masters, Prof-specialty, Not-in-family, Female, United-States
37, Bachelors, Prof-specialty, Husband, Male, United-States
43, Some-college, Exec-managerial, Husband, Male, United-States
54, HS-grad, Prof-specialty, Husband, Male, United-States
53, 5th-6th, Sales, Husband, Male, Mexico
57, Masters, Prof-specialty, Husband, Male, United-States
28, Bachelors, Prof-specialty, Husband, Male, United-States
29, Bachelors, Other-service, Husband, Male, United-States
21, HS-grad, Sales, Own-child, Male, United-States
51, HS-grad, Craft-repair, Husband, Male, United-States
46, HS-grad, Transport-moving, Husband, Male, United-States
50, Prof-school, Prof-specialty, Husband, Male, United-States
50, HS-grad, Exec-managerial, Unmarried, Female, South
36, HS-grad, Exec-managerial, Unmarried, Female, United-States
31, Bachelors, Prof-specialty, Husband, Male, United-States
20, HS-grad, Adm-clerical, Own-child, Female, United-States
36, HS-grad, Handlers-cleaners, Husband, Male, United-States
38, HS-grad, Craft-repair, Own-child, Male, United-States
37, Bachelors, Craft-repair, Husband, Male, United-States
39, Masters, Prof-specialty, Husband, Male, United-States
18, 10th, Farming-fishing, Own-child, Male, United-States
33, HS-grad, Sales, Not-in-family, Male, United-States
35, HS-grad, Tech-support, Not-in-family, Female, United-States
23, Some-college, Handlers-cleaners, Own-child, Male, United-States
37, Bachelors, Other-service, Unmarried, Female, Philippines
25, HS-grad, Other-service, Husband, Male, United-States
51, Assoc-acdm, Tech-support, Husband, Male, United-States
35, HS-grad, Craft-repair, Husband, Male, United-States
54, 11th, Machine-op-inspct, Husband, Male, United-States
66, HS-grad,, Husband, Male, United-States
32, HS-grad, Other-service, Unmarried, Female, United-States
37, Bachelors, Protective-serv, Not-in-family, Male, United-States
29, Bachelors, Sales, Husband, Male, United-States
45, Bachelors, Handlers-cleaners, Husband, Male, United-States
61, Some-college, Sales, Husband, Male, United-States
40, Some-college, Adm-clerical, Unmarried, Female, United-States
24, HS-grad, Transport-moving, Not-in-family, Female, United-States
49, 7th-8th, Machine-op-inspct, Husband, Male, United-States
51, Masters, Exec-managerial, Unmarried, Male, United-States
34, HS-grad, Transport-moving, Husband, Male, United-States
28, HS-grad,, Unmarried, Female, Mexico
20, Some-college, Sales, Own-child, Male, United-States
30, Some-college, Adm-clerical, Unmarried, Female, United-States
49, Masters, Prof-specialty, Unmarried, Male, Mexico
26, Some-college, Sales, Not-in-family, Male, United-States
63, 10th, Adm-clerical, Husband, Male, United-States
36, Assoc-acdm, Transport-moving, Not-in-family, Male, Iran
63, Bachelors, Prof-specialty, Husband, Male, United-States
22, HS-grad, Adm-clerical, Not-in-family, Female, United-States
40, HS-grad, Sales, Husband, Male, United-States
31, 7th-8th, Adm-clerical, Not-in-family, Female, United-States
49, Some-college, Craft-repair, Husband, Male, Canada
35, Masters, Prof-specialty, Not-in-family, Male,
23, Bachelors, Prof-specialty, Own-child, Female, United-States
25, Assoc-voc, Sales, Not-in-family, Male, United-States
34, HS-grad,, Husband, Male, United-States
28, Bachelors, Craft-repair, Husband, Male, United-States
44, Some-college, Machine-op-inspct, Not-in-family, Male, United-States
33, HS-grad, Transport-moving, Not-in-family, Male, United-States
21, Some-college, Adm-clerical, Not-in-family, Male, United-States
55, 11th, Other-service, Husband, Male, United-States
17, 11th,, Own-child, Female, United-States
75, HS-grad, Sales, Not-in-family, Male, United-States
61, 9th, Machine-op-inspct, Unmarried, Female, United-States
53, HS-grad, Adm-clerical, Not-in-family, Female, United-States
26, Assoc-acdm, Protective-serv, Husband, Male, United-States
48, Some-college, Sales, Unmarried, Male, United-States
28, Masters, Exec-managerial, Husband, Male, United-States
30, Bachelors,, Not-in-family, Female, Taiwan
29, HS-grad, Handlers-cleaners, Husband, Male, United-States
25, Some-college, Tech-support, Own-child, Female, United-States
37, HS-grad, Transport-moving, Husband, Male, United-States
43, Bachelors, Prof-specialty, Unmarried, Female, United-States
40, HS-grad, Transport-moving, Husband, Male, United-States
34, 10th, Craft-repair, Husband, Male, United-States
55, Doctorate, Prof-specialty, Husband, Male, United-States
31, Assoc-acdm, Tech-support, Not-in-family, Male, United-States
21, Some-college,, Own-child, Female, United-States
32, HS-grad, Farming-fishing, Husband, Male, Italy
26, Prof-school, Prof-specialty, Not-in-family, Male, India
26, Bachelors, Prof-specialty, Husband, Male, United-States
44, Some-college, Transport-moving, Husband, Male, United-States
49, HS-grad, Transport-moving, Husband, Male, United-States
21, HS-grad,, Own-child, Female, United-States
26, HS-grad, Adm-clerical, Unmarried, Female, United-States
40, HS-grad, Farming-fishing, Husband, Male, United-States
19, 11th, Adm-clerical, Not-in-family, Female, United-States
58, HS-grad, Farming-fishing, Husband, Male, United-States
61, Assoc-voc, Tech-support, Husband, Male, United-States
28, Some-college, Sales, Own-child, Male, South
26, Bachelors, Farming-fishing, Own-child, Male, United-States
64, HS-grad, Adm-clerical, Not-in-family, Female, United-States
42, Bachelors, Exec-managerial, Husband, Male, United-States
41, Some-college, Tech-support, Husband, Male, United-States
45, HS-grad, Handlers-cleaners, Not-in-family, Male, United-States
39, Bachelors, Sales, Husband, Male, United-States
41, HS-grad, Other-service, Husband, Male, United-States
51, 11th, Other-service, Not-in-family, Female, Jamaica
34, Assoc-voc, Adm-clerical, Unmarried, Female, United-States
33, Masters, Exec-managerial, Husband, Male, Germany
23, Some-college, Other-service, Not-in-family, Male, United-States
35, Some-college, Craft-repair, Husband, Male, United-States
41, 11th, Priv-house-serv, Unmarried, Female, Guatemala
39, Masters, Craft-repair, Not-in-family, Female, United-States
41, Some-college, Sales, Husband, Male, United-States
33, Some-college, Exec-managerial, Husband, Male, United-States
22, HS-grad, Other-service, Other-relative, Male, United-States
25, Some-college, Exec-managerial, Other-relative, Female, United-States
25, Some-college, Machine-op-inspct, Own-child, Female, United-States
77, 7th-8th, Adm-clerical, Not-in-family, Male, Italy
33, Assoc-voc,, Own-child, Female, United-States
66, HS-grad, Sales, Not-in-family, Female, United-States
19, Some-college, Sales, Own-child, Male, United-States
44, HS-grad, Other-service, Unmarried, Female, United-States
45, Masters, Sales, Unmarried, Female, United-States
28, Some-college, Sales, Not-in-family, Male, United-States
19, HS-grad, Handlers-cleaners, Other-relative, Male, United-States
43, HS-grad, Machine-op-inspct, Husband, Male, United-States
39, Bachelors, Tech-support, Husband, Male, United-States
33, Bachelors, Sales, Husband, Male, United-States
44, HS-grad, Other-service, Not-in-family, Female, Jamaica
62, 7th-8th, Machine-op-inspct, Not-in-family, Female, United-States
40, Some-college, Sales, Husband, Male, United-States
41, HS-grad, Other-service, Not-in-family, Male, Iran
23, Some-college, Other-service, Not-in-family, Male, United-States
48, HS-grad, Craft-repair, Husband, Male, Italy
38, Masters, Prof-specialty, Husband, Male, United-States
37, Masters, Exec-managerial, Husband, Male, United-States
45, Masters, Prof-specialty, Husband, Male, United-States
29, HS-grad, Protective-serv, Husband, Male, United-States
66, HS-grad, Adm-clerical, Unmarried, Female, United-States
19, HS-grad, Other-service, Not-in-family, Female, United-States
23, 9th, Handlers-cleaners, Other-relative, Male, Mexico
34, Bachelors, Tech-support, Husband, Male, United-States
39, Masters, Exec-managerial, Not-in-family, Female, United-States
33, HS-grad, Transport-moving, Not-in-family, Male, United-States
43, Some-college, Sales, Unmarried, Female, United-States
27, HS-grad, Transport-moving, Husband, Male, United-States
33, Some-college, Adm-clerical, Own-child, Male, United-States
26, 5th-6th, Farming-fishing, Husband, Male, Mexico
56, Masters, Exec-managerial, Not-in-family, Male, United-States
46, HS-grad, Sales, Husband, Male, United-States
38, Assoc-acdm, Craft-repair, Unmarried, Female, United-States
90, 11th, Craft-repair, Husband, Male, United-States
72, Some-college, Exec-managerial, Husband, Male, United-States
20, HS-grad, Adm-clerical, Unmarried, Female, United-States
29, HS-grad, Craft-repair, Husband, Male, United-States
49, 11th, Transport-moving, Husband, Male, United-States
23, HS-grad, Other-service, Unmarried, Female, United-States
20, Some-college, Sales, Own-child, Female, United-States
57, Bachelors, Exec-managerial, Husband, Male, South
46, Assoc-acdm, Prof-specialty, Unmarried, Female, United-States
33, Bachelors, Prof-specialty, Husband, Male, United-States
24, Bachelors, Sales, Not-in-family, Male, Jamaica
49, Assoc-voc, Craft-repair, Husband, Male, Greece
54, HS-grad, Transport-moving, Husband, Male, United-States
46, Doctorate, Prof-specialty, Not-in-family, Female, United-States
31, Assoc-voc, Craft-repair, Husband, Male, United-States
43, Prof-school, Prof-specialty, Husband, Male, United-States
18, Some-college,, Own-child, Female, United-States
19, HS-grad, Machine-op-inspct, Own-child, Male, United-States
46, Assoc-acdm, Adm-clerical, Not-in-family, Male, United-States
43, Bachelors, Prof-specialty, Not-in-family, Male, United-States
58, HS-grad, Craft-repair, Unmarried, Male, United-States
43, HS-grad, Sales, Husband, Male, United-States
37, Some-college,, Unmarried, Male, United-States
21, 12th, Adm-clerical, Own-child, Male, United-States
52, Masters, Adm-clerical, Not-in-family, Male, United-States
34, Assoc-voc, Craft-repair, Husband, Male, United-States
28, Assoc-voc, Handlers-cleaners, Own-child, Female, United-States
34, HS-grad, Transport-moving, Not-in-family, Male, United-States
29, HS-grad, Machine-op-inspct, Husband, Male, United-States
39, HS-grad, Farming-fishing, Husband, Male, United-States
49, 11th, Machine-op-inspct, Unmarried, Female, United-States
35, Some-college, Craft-repair, Husband, Male, Jamaica
31, Some-college, Other-service, Own-child, Female, United-States
18, Some-college, Handlers-cleaners, Own-child, Male, United-States
47, HS-grad, Other-service, Husband, Male, United-States
46, HS-grad, Sales, Husband, Male, United-States
43, Bachelors, Sales, Husband, Male, United-States
51, HS-grad, Craft-repair, Husband, Male, United-States
21, Some-college, Adm-clerical, Not-in-family, Female, United-States
18, Some-college,, Own-child, Male, United-States
31, Bachelors, Prof-specialty, Wife, Female, United-States
39, HS-grad, Protective-serv, Husband, Male, United-States
58, 11th, Adm-clerical, Husband, Male, United-States
36, Masters, Prof-specialty, Not-in-family, Female, United-States
38, HS-grad, Machine-op-inspct, Wife, Female, United-States
31, Bachelors, Exec-managerial, Wife, Female, United-States
19, 11th, Handlers-cleaners, Not-in-family, Male, United-States
38, Assoc-voc, Tech-support, Not-in-family, Female, United-States
26, Assoc-voc, Prof-specialty, Own-child, Female, Jamaica
